topics,subject,object,label
high-dimensional data; interactive computer graphics,high-dimensional data,interactive computer graphics,3
description logics; web-page,description logics,web-page,3
bayesian network structure; voice over internet protocol,bayesian network structure,voice over internet protocol,3
queueing analysis; queuing network,queueing analysis,queuing network,1
cross-cutting concerns; higher order logic,cross-cutting concerns,higher order logic,3
structured query language (sql); relational databases,structured query language (sql),relational databases,1
multichip modules; incentive mechanisms,multichip modules,incentive mechanisms,3
mammograms; cooperative communications,mammograms,cooperative communications,3
radial based function; aadl,radial based function,aadl,3
bayesian models; probabilistic models,bayesian models,probabilistic models,0
autonomous agent; image compression,autonomous agent,image compression,3
smart home; intelligent environments,smart home,intelligent environments,1
communication channels; cochannel interference (cci),communication channels,cochannel interference (cci),0
lexical semantics; nlp,lexical semantics,nlp,1
noc; networks on chips,noc,networks on chips,2
peer-to-peer system; peer-to-peer (p2p),peer-to-peer system,peer-to-peer (p2p),2
sensor; direction of arrival,sensor,direction of arrival,0
architectural analysis; knn,architectural analysis,knn,3
p2p; file-sharing,p2p,file-sharing,0
long-term evolution; long term evolution,long-term evolution,long term evolution,2
low-power consumption; sliding mode control (smc),low-power consumption,sliding mode control (smc),3
text processing; natural language processing,text processing,natural language processing,1
wireless mesh network; wireless mesh networks,wireless mesh network,wireless mesh networks,2
back-propagation neural networks; neural network,back-propagation neural networks,neural network,2
wimedia; orthogonal frequency-division multiplexing (ofdm),wimedia,orthogonal frequency-division multiplexing (ofdm),1
cham; architectural language,cham,architectural language,1
quality increasing; cad models,quality increasing,cad models,3
classifiers; support vector machine (svms),classifiers,support vector machine (svms),0
learning environment; e - learnings,learning environment,e - learnings,1
parallel mechanism; robotic manipulator,parallel mechanism,robotic manipulator,1
mimo systems; minimum mean square errors (mmse),mimo systems,minimum mean square errors (mmse),0
customer behavior; capp,customer behavior,capp,3
radial basis functions; rbfnn,radial basis functions,rbfnn,2
neural networks; machine learning methods,neural networks,machine learning methods,1
gaussian kernel; support vector machine,gaussian kernel,support vector machine,1
bayesian approaches; naive bayes,bayesian approaches,naive bayes,0
man-machine systems; human robot interactions,man-machine systems,human robot interactions,0
fuzzy cognitive map; fuzzy cognitive maps,fuzzy cognitive map,fuzzy cognitive maps,2
nlp; natural language generation,nlp,natural language generation,0
fcm; clustering algorithms,fcm,clustering algorithms,1
built in self test; built-in self-test,built in self test,built-in self-test,2
frequent itemsets; rule-based reasoning,frequent itemsets,rule-based reasoning,3
particle swarm optimisation; engineering design problems,particle swarm optimisation,engineering design problems,0
multi-core; multiprocessors,multi-core,multiprocessors,0
requirement engineering; quality requirements,requirement engineering,quality requirements,0
flight control systems; control system,flight control systems,control system,1
qoe; bayesian networks,qoe,bayesian networks,3
discrete cosine transforms (dct); filter banks,discrete cosine transforms (dct),filter banks,0
architectural language; xadl,architectural language,xadl,0
bayesian approach; variational bayesian,bayesian approach,variational bayesian,0
echo state network; semantic web technology,echo state network,semantic web technology,3
modelling language; modeling language,modelling language,modeling language,2
agglomerative hierarchical clustering; data compression,agglomerative hierarchical clustering,data compression,3
antenna; uniform theory of diffraction,antenna,uniform theory of diffraction,0
feedback systems; temporal logic,feedback systems,temporal logic,3
complex adaptive system; routing protocols,complex adaptive system,routing protocols,3
network coding; ip multicast,network coding,ip multicast,1
e-commerce systems; customer relationship management (crm),e-commerce systems,customer relationship management (crm),0
xml; extensible stylesheet language,xml,extensible stylesheet language,0
rbfnn; radial basis function neural network,rbfnn,radial basis function neural network,2
pseudo relevance feedback; geographical information system (gis),pseudo relevance feedback,geographical information system (gis),3
equivalence relation; architecture framework,equivalence relation,architecture framework,3
antennas; pdb,antennas,pdb,3
target detection algorithm; target detections,target detection algorithm,target detections,1
natural language processing; sentiment analysis,natural language processing,sentiment analysis,0
operating system; linux systems,operating system,linux systems,0
latent variable models; bayesian approaches,latent variable models,bayesian approaches,1
nearest neighbor classification; classifier,nearest neighbor classification,classifier,1
microkernel; architectural pattern,microkernel,architectural pattern,1
consistency-checking; multiple antenna,consistency-checking,multiple antenna,3
software development projects; software development methodologies,software development projects,software development methodologies,0
